season,us_views_millions
1,21.5
1,20.2
1,19.5
1,19.7
1,18.6
1,18.2
1,23.5
1,21.1
1,23.1
1,19.9
1,26.6
1,24
1,25.8
1,23.8
1,24.8
1,26.1
1,30.5
1,30.4
1,29.4
1,30
1,28.4
1,29.9
1,28.7
1,31.3
2,32.1
2,29.8
2,30.2
2,28.1
2,28.3
2,30.2
2,30.5
2,32.9
2,27.8
2,32.2
2,31.6
2,52.9
2,52.9
2,33.6
2,32.9
2,31.1
2,30.2
2,30.1
2,31.2
2,27.4
2,24.7
2,25.5
2,26.1
2,29
3,26.8
3,26.7
3,25.2
3,26.1
3,23.3
3,23.3
3,27.4
3,28.7
3,29.3
3,25.1
3,29.8
3,29.6
3,28
3,28.9
3,27.3
3,28.3
3,25.8
3,28.1
3,23.7
3,24.4
3,23.2
3,22.6
3,24.2
3,23.1
3,28.8
4,29.4
4,25.5
4,24
4,24.3
4,24.4
4,25.7
4,26.4
4,26.8
4,23.9
4,23.2
4,23.7
4,27.1
4,25.3
4,25.1
4,24.4
4,23.1
4,23.2
4,21.7
4,21.8
4,21.9
4,21.5
4,23.2
4,31.6
4,31.6
5,31.1
5,25.4
5,26.8
5,24.1
5,25.9
5,25
5,24.4
5,23.9
5,23
5,23.7
5,27
5,24.8
5,24.9
5,27.7
5,29.3
5,26
5,24.5
5,21.9
5,20.9
5,19.6
5,20.9
5,21.3
5,25.9
5,25.9
6,27.7
6,22.9
6,21.6
6,21.1
6,22.4
6,23.6
6,22.7
6,22.1
6,19.2
6,22.4
6,22.3
6,22.3
6,24.1
6,23.8
6,20.7
6,20.7
6,22.1
6,20.5
6,21.5
6,18.8
6,20.6
6,20
6,20.9
6,30.7
6,30.7
7,25.54
7,27.93
7,22.7
7,22.66
7,24.43
7,22.01
7,23.73
7,16.57
7,21.08
7,23.26
7,24.37
7,22.86
7,22.24
7,22.4
7,21.75
7,21.22
7,20.84
7,17.81
7,16.55
7,16.3
7,15.65
7,17.23
7,30.05
7,30.05
8,31.7
8,30.04
8,29.2
8,25.58
8,25.64
8,26.96
8,24.24
8,26.54
8,24.24
8,22.44
8,23.85
8,25.53
8,29.24
8,28.64
8,28.64
8,27.52
8,26.3
8,22.05
8,22.59
8,22.24
8,23.97
8,24.32
8,34.91
8,34.91
9,34.01
9,28.93
9,26.63
9,25.82
9,24.46
9,27.51
9,25.35
9,26.76
9,25.43
9,22.29
9,23.67
9,23.66
9,25.82
9,23.37
9,20.85
9,19.52
9,21
9,20.79
9,18.25
9,20.71
9,19.03
9,19.55
9,25.46
9,25.46
10,24.54
10,22.38
10,21.87
10,18.77
10,19.37
10,20.38
10,20.21
10,20.66
10,25.49
10,26.68
10,24.91
10,25.9
10,24.27
10,22.83
10,22.64
10,24.51
10,52.46
10,52.46
